geoname,geoid,year,est
Adams,18001,2015,8574
Allen,18003,2015,91978
Bartholomew,18005,2015,20612
Benton,18007,2015,2239
Blackford,18009,2015,3574
Boone,18011,2015,16940
Brown,18013,2015,4192
Carroll,18015,2015,5386
Cass,18017,2015,9773
Clark,18019,2015,28208
Clay,18021,2015,7469
Clinton,18023,2015,8146
Crawford,18025,2015,2789
Daviess,18027,2015,8275
Dearborn,18029,2015,13367
Decatur,18031,2015,7046
DeKalb,18033,2015,11228
Delaware,18035,2015,27584
Dubois,18037,2015,11445
Elkhart,18039,2015,50577
Fayette,18041,2015,6359
Floyd,18043,2015,19755
Fountain,18045,2015,4682
Franklin,18047,2015,6787
Fulton,18049,2015,5375
Gibson,18051,2015,9112
Grant,18053,2015,17278
Greene,18055,2015,8721
Hamilton,18057,2015,80098
Hancock,18059,2015,19093
Harrison,18061,2015,10208
Hendricks,18063,2015,40971
Henry,18065,2015,12052
Howard,18067,2015,22281
Huntington,18069,2015,9792
Jackson,18071,2015,11691
Jasper,18073,2015,8921
Jay,18075,2015,5464
Jefferson,18077,2015,8795
Jennings,18079,2015,7228
Johnson,18081,2015,38992
Knox,18083,2015,9362
Kosciusko,18085,2015,21191
LaGrange,18087,2015,9270
Lake,18089,2015,123259
LaPorte,18091,2015,28142
Lawrence,18093,2015,13009
Madison,18095,2015,33403
Marion,18097,2015,209677
Marshall,18099,2015,11976
Martin,18101,2015,2614
Miami,18103,2015,9103
Monroe,18105,2015,27809
Montgomery,18107,2015,9927
Morgan,18109,2015,18758
Newton,18111,2015,3739
Noble,18113,2015,13101
Ohio,18115,2015,1615
Orange,18117,2015,5224
Owen,18119,2015,5987
Parke,18121,2015,4192
Perry,18123,2015,5039
Pike,18125,2015,3536
Porter,18127,2015,44331
Posey,18129,2015,7287
Pulaski,18131,2015,3557
Putnam,18133,2015,9002
Randolph,18135,2015,6846
Ripley,18137,2015,7921
Rush,18139,2015,4908
St. Joseph,18141,2015,65126
Scott,18143,2015,6241
Shelby,18145,2015,11608
Spencer,18147,2015,5862
Starke,18149,2015,6179
Steuben,18151,2015,9375
Sullivan,18153,2015,5493
Switzerland,18155,2015,2972
Tippecanoe,18157,2015,37794
Tipton,18159,2015,4500
Union,18161,2015,1902
Vanderburgh,18163,2015,45063
Vermillion,18165,2015,4143
Vigo,18167,2015,24651
Wabash,18169,2015,8852
Warren,18171,2015,2450
Warrick,18173,2015,17002
Washington,18175,2015,7333
Wayne,18177,2015,17781
Wells,18179,2015,7669
White,18181,2015,6660
Whitley,18183,2015,9545
